k,m,run_id,d_max,points_json,subset,witness_json,delta
12,2,1,5,"[[3.2811582558045647, -4.185635073305508, -3.2729284507525644, 2.0863323643033436, -3.2377105124355743, -4.6517005017768085, 4.219898443549031, -0.474084856484166, 1.8853787833313629, -0.5480899170942299, -1.808619832027888, 1.0181986878667293], [1.1654011342194925, -0.7611075381363819, 2.923552659960793, -4.2194607926610805, 1.4375511081223835, 2.1218363768848434, 1.8479648450332065, 2.324082302390419, -1.0671826947759921, -3.9952342562068943, 3.2608550803537986, -2.251821385280607], [3.5120684181541773, -3.7213684458042873, -0.7590287014765995, 1.388593725078423, -4.728679991067503, -0.18829756727651192, 2.3559550078602842, 3.3677487477379433, -3.991027172213278, -0.8385497546455101, 1.1386201709343635, -2.4803345829837307], [1.5397374444841483, -4.299977814987516, 0.44999503599746027, 1.9640588025292927, -4.9057965872170985, 2.6155546852412757, 3.267601109145396, 0.3293457549530887, -0.5997911415502144, -2.5019044351834587, -4.919335337849536, -2.865036733583264], [0.06317950851849718, 0.24101479594795694, 3.9445937218542104, -3.7772186301570034, -3.0198285398481763, 1.438767439487032, -2.6930030430747767, 2.0194353333530115, -3.4089569477546977, 1.1052723749088333, 0.4477430587587128, 3.8837846543199515]]",__POINTS__,,
12,2,1,5,,1,"[-1.6681682737715366, 0.7152350984462249]",81.99393394700984
12,2,1,5,,2,"[0.8540903110454652, -1.0135410791106398]",66.5228156391978
12,2,1,5,,3,"[3.510556560524095, -0.7683910770832338]",73.22008469717862
12,2,1,5,,4,"[0.039657513143357935, -3.4295158595113167]",70.35822972141017
12,2,1,5,,5,"[-0.3309443030542866, 3.8769649743731347]",64.24836764945532
12,2,1,5,,"1,2","[-1.6052267501433413, 0.5147184476727457]",82.25586403293319
12,2,1,5,,"1,3","[3.2816020950598515, -0.8199608526158864]",83.58796096862513
12,2,1,5,,"1,4","[-10.248027271002563, -4.758540866954265]",437.66201097638765
12,2,1,5,,"1,5","[-1.6634187277815653, 0.7144764144969845]",81.9938037094074
12,2,1,5,,"2,3","[1.9505095751169579, -0.9757797448650881]",76.1299780388208
12,2,1,5,,"2,4","[0.20772422979415062, -3.2248904554440703]",70.735852185014
12,2,1,5,,"2,5","[1.4168580825202723, -0.4355396859609433]",72.73800116304628
12,2,1,5,,"3,4","[-0.955178672592544, -2.725490571628884]",91.2926463290308
12,2,1,5,,"3,5","[2.2039973085605093, -0.6673605619113603]",75.0442329789867
12,2,1,5,,"4,5","[-1.7131751295050204, -1.0038526937289942]",97.74560695966242
12,2,1,5,,"1,2,3","[3.404635686810247, -0.5090518718821776]",84.63504650193286
12,2,1,5,,"1,2,4","[15.872160760849788, -16.5250399884306]",2956.855544218136
12,2,1,5,,"1,2,5","[-1.5551142359171326, 0.6790081465633694]",82.07213955023215
12,2,1,5,,"1,3,4","[3.9213475639640083, -1.2570759096466981]",97.50028839900925
12,2,1,5,,"1,3,5","[3.2090690619331, -0.8120658142619834]",83.59304446211586
12,2,1,5,,"1,4,5","[-3.0123387395195835, 3.9020113000022296]",200.50507063545703
12,2,1,5,,"2,3,4","[0.15312842724713532, -1.5424846913936197]",82.3462332809665
12,2,1,5,,"2,3,5","[1.9176437470030538, -0.7851284020037428]",75.76521815471236
12,2,1,5,,"2,4,5","[0.6288787853357463, -1.4763663584134243]",84.17263736881377
12,2,1,5,,"3,4,5","[-1.0922261526645543, -1.2139947538933273]",96.61283771768126
12,2,1,5,,"1,2,3,4","[4.174909987357447, -0.9948564632048481]",98.2896931498221
12,2,1,5,,"1,2,3,5","[2.651604952281384, -0.7397467813964691]",84.04695637316198
12,2,1,5,,"1,2,4,5","[-1.894871942865548, -0.8188731915196703]",97.33289577021846
12,2,1,5,,"1,3,4,5","[2.6705848919688315, -1.2657953799777517]",93.14907424844993
12,2,1,5,,"2,3,4,5","[0.3736095446831895, -1.3707106022950213]",83.71289466193066
12,2,1,5,,"1,2,3,4,5","[0.8115969759774232, -1.0824831934473926]",90.4713645056608
