row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.02420379966;0.4609281719;-1.207199335;0.6069282293;0.02889990434;-0.538918674;-0.4848019183;0.6365222335,,,,,
POINT,1,,0.8058151603;-0.5254626274;0.3511567712;-0.7356187701;-0.2697947621;-0.4186332822;1.075226307;-1.237045527,,,,,
POINT,2,,0.808960557;1.557900429;0.3579806983;2.105229855;-2.582538366;0.6609178185;-0.1698981822;1.515354633,,,,,
POINT,3,,-1.06295073;-0.7627993226;-0.4594735503;0.3278012276;-0.187798962;-1.425627828;0.09986747056;0.8899698853,,,,,
POINT,4,,1.120547175;-0.1638673693;0.9269738197;0.3444800675;-0.9458488226;0.808054626;-0.2928242087;-0.9404227734,,,,,
POINT,5,,-0.2326587737;0.2358193249;2.08868742;0.07023055851;0.8613635302;1.377249718;-1.586628795;1.648745537,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.1782528013;0.3502635658;2.608906984;0.540890038;1.854459882;0.8681035042;0.5633479953;0.08862498403,1,,,1
SUBSET_WITNESS,,{0},,-0.02420379966;0.4609281719;-1.207199335;0.6069282293;0.02889990434;-0.538918674;-0.4848019183;0.6365222335,1,0,3.376527856,1
SUBSET_WITNESS,,{1},,0.8058151603;-0.5254626274;0.3511567712;-0.7356187701;-0.2697947621;-0.4186332822;1.075226307;-1.237045527,1,0,2.391538871,1
SUBSET_WITNESS,,{2},,0.808960557;1.557900429;0.3579806983;2.105229855;-2.582538366;0.6609178185;-0.1698981822;1.515354633,1,0,7.55351685,1
SUBSET_WITNESS,,{3},,-1.06295073;-0.7627993226;-0.4594735503;0.3278012276;-0.187798962;-1.425627828;0.09986747056;0.8899698853,1,0,3.376527856,1
SUBSET_WITNESS,,{4},,1.120547175;-0.1638673693;0.9269738197;0.3444800675;-0.9458488226;0.808054626;-0.2928242087;-0.9404227734,1,0,2.391538871,1
SUBSET_WITNESS,,{5},,-0.2326587737;0.2358193249;2.08868742;0.07023055851;0.8613635302;1.377249718;-1.586628795;1.648745537,1,0,7.854243338,1
SUBSET_WITNESS,,"{0,1}",,-0.1270603538;0.2719491124;-1.53455627;-0.1583978981;0.1240105405;-0.3061112165;1.13327837;-0.5473502874,2.878919363,2.482675594,3.9740975,1
SUBSET_WITNESS,,"{0,2}",,0.2464483827;0.7934510708;1.030599117;1.057859898;-2.125935555;0.8098797798;-0.4008700848;1.018399119,3.184307575,2.67509502,6.711150224,1
SUBSET_WITNESS,,"{0,3}",,-0.709079206;0.09011617303;-0.8146025538;0.3035757542;-0.551258862;-0.961879909;-0.2205782831;0.7409502268,2.236573935,1.187925478,6.910746478,1
SUBSET_WITNESS,,"{0,4}",,0.3954185545;-0.3687300086;-0.1567620635;0.5181992054;-1.62867713;1.17323029;-0.1098158583;-0.06665308774,2.374690056,2.161679097,5.060881812,1
SUBSET_WITNESS,,"{0,5}",,-0.08107800782;0.2499427646;1.248639464;0.2582976222;0.6302182674;0.8714401126;-0.672660768;1.120046735,3.814775229,3.075599927,4.26962184,1
SUBSET_WITNESS,,"{1,2}",,1.084987879;0.5947067142;-0.1777198166;1.796055794;-1.700565338;-0.08298225701;1.618621469;0.05294672772,5.630710602,5.369203143,5.825809631,1
SUBSET_WITNESS,,"{1,3}",,-0.8412303329;-0.3458664417;0.260127455;-0.5405454636;-0.2126327455;-1.242405653;0.6251218915;-0.853902936,3.900355339,3.822614123,4.386005455,1
SUBSET_WITNESS,,"{1,4}",,1.022865415;-0.6547378302;0.5484479666;0.765263319;-0.7734394073;-0.06583800912;1.492267966;-0.7620155215,2.127523184,2.08436684,5.181731375,1
SUBSET_WITNESS,,"{1,5}",,0.07562384754;0.3247959912;1.618972778;-0.2154168487;1.0124228;1.534970164;-1.605767131;0.1245435998,4.567099094,4.362971127,4.759024871,1
SUBSET_WITNESS,,"{2,3}",,-0.3530387282;0.760102272;0.6580893397;1.151769161;-2.950259686;0.1654196084;1.331179738;1.345628738,5.633772373,5.504714794,5.869859675,1
SUBSET_WITNESS,,"{2,4}",,1.722123742;-0.01327072829;0.8177787066;1.650540829;-2.058143854;0.9431714416;0.268356055;-0.179146409,4.818505287,4.797001059,6.37498173,1
SUBSET_WITNESS,,"{2,5}",,0.2973222733;0.6040841341;1.809259653;1.87296319;-1.422459364;1.102320671;-0.7930143476;1.653824925,4.417184353,3.532735082,6.097471159,1
SUBSET_WITNESS,,"{3,4}",,-0.8235792518;-0.7107602954;1.370028853;-0.2073955387;-1.777623653;0.7562583089;0.07858517021;-1.250444889,6.419122219,6.346352278,6.952343721,1
SUBSET_WITNESS,,"{3,5}",,-0.7228626609;-0.190444231;0.9038956165;0.1339281499;-0.283134371;0.555496335;-1.458373785;0.8856714964,3.61362195,3.322220935,3.808069742,1
SUBSET_WITNESS,,"{4,5}",,0.5138080716;0.2595078647;1.884974599;0.2643175125;-0.3826265931;0.9793482423;-1.093668818;0.3843508065,4.506982803,4.214508307,4.860616699,1
SUBSET_WITNESS,,"{0,1,2}",,0.7727999687;0.8661272526;0.8636061549;1.646991491;-1.037475467;-0.1437717527;-0.4599698782;0.545992732,5.199621201,5.004046101,5.85426541,1
SUBSET_WITNESS,,"{0,1,3}",,-0.1950637102;-1.059996724;-1.17143476;-0.3377286196;-0.2146746367;-0.6811490059;0.4470688999;-0.2436159104,3.491471767,3.18985805,4.93856346,1
SUBSET_WITNESS,,"{0,1,4}",,0.05043810606;-0.1717944294;0.3088453412;0.4401488304;-1.020192862;-0.2505639195;1.221366167;-0.1655822694,2.974074364,2.812774473,3.577551878,1
SUBSET_WITNESS,,"{0,1,5}",,-0.0675317347;0.2293396592;1.353398561;-0.2017550021;0.9631822109;1.308392882;-1.656481385;0.253698945,4.704349041,4.607246703,5.255160477,1
SUBSET_WITNESS,,"{0,2,3}",,-0.2210682631;1.104339004;0.231896311;1.153828025;-2.07256484;0.3304796517;-0.1077389941;1.361404419,4.667144775,4.208307784,6.481172525,1
SUBSET_WITNESS,,"{0,2,4}",,1.205670476;1.477351785;0.03827015311;1.09830904;-1.774399996;0.8882873058;-0.2744620144;0.195007056,4.226520538,3.932625532,6.19291052,1
SUBSET_WITNESS,,"{0,2,5}",,0.3979426324;1.04467082;0.5071349144;1.725738525;-1.10576272;0.9794645309;-0.4407788217;1.313427925,4.362778187,4.237794103,7.942659474,1
SUBSET_WITNESS,,"{0,3,4}",,0.01958560012;-0.4150954187;-0.01785750873;0.912927568;0.4370644987;-1.414399743;0.172363326;0.007264637854,3.613819599,2.931609772,4.45846965,1
SUBSET_WITNESS,,"{0,3,5}",,-0.6699458957;-0.08228355646;0.5208544731;1.052252531;-0.1500387937;0.5639010072;-1.05682385;1.020189166,3.815443277,2.921912756,8.713040896,1
SUBSET_WITNESS,,"{0,4,5}",,0.4676374495;0.2532477081;1.536190987;0.2649641335;-0.4679639339;0.6667804718;-0.4876542985;0.7108157873,4.412374496,3.990624308,5.389259861,1
SUBSET_WITNESS,,"{1,2,3}",,0.8528619409;-1.464028478;-0.6520015001;0.6048488021;-2.989701748;0.2304672301;3.011786938;0.3630408049,13.14891338,13.02651761,13.43708823,1
SUBSET_WITNESS,,"{1,2,4}",,1.483367801;0.005775109399;0.8587328792;1.724819541;-1.983265042;-0.4582284689;-0.8268817067;0.04764254019,6.055122852,5.177316715,6.473780346,1
SUBSET_WITNESS,,"{1,2,5}",,1.215347528;1.570016265;2.190057278;2.193384409;-0.7348573208;-0.7732822299;-0.7784852386;0.7632478476,10.33804703,10.29796429,10.72398561,1
SUBSET_WITNESS,,"{1,3,4}",,-0.7407650352;-0.4739613235;0.6048254967;-0.1016456038;-0.1646067947;-1.60882771;0.8062716126;-1.040919185,5.218728542,5.131908167,5.62466179,1
SUBSET_WITNESS,,"{1,3,5}",,-0.009782942012;-0.424616009;0.8285081387;-0.8960546255;-0.4766182303;1.328303933;-1.906060219;0.619135201,5.217470169,4.932869203,6.001800501,1
SUBSET_WITNESS,,"{1,4,5}",,0.691052556;-0.2890102863;1.386592031;0.1555144787;-0.4884414673;1.355868101;-1.445011139;0.4042138457,4.988433361,4.1090003,5.20638869,1
SUBSET_WITNESS,,"{2,3,4}",,1.358338118;-0.6522392631;0.4555997252;-0.4114110172;-3.041092634;0.6755820513;1.468092322;0.6488705277,9.858072281,9.383548175,10.12921216,1
SUBSET_WITNESS,,"{2,3,5}",,-0.6889284849;0.9098294377;0.2937610149;1.750476122;-1.151365519;0.9600328207;1.265273213;1.590090275,6.550136089,6.276237669,7.151862219,1
SUBSET_WITNESS,,"{2,4,5}",,1.072015285;-0.04306786507;2.439616203;1.611169219;-0.9776559472;1.578452349;-1.450552821;0.2900001705,7.606568813,7.358337007,9.582433935,1
SUBSET_WITNESS,,"{3,4,5}",,0.7534726262;-0.2884834707;1.632511258;0.04369209707;0.9397976398;-0.2118453979;-2.902804375;0.6560608149,8.379714012,8.257826318,8.542343278,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.005896951538;0.7169672847;0.9998458624;1.921205163;-1.258137226;0.1318725049;-0.3375402689;0.6344794631,6.735516071,6.469328297,6.866369334,1
SUBSET_WITNESS,,"{0,1,2,4}",,1.078228116;-0.05342516676;0.09127786011;1.027402997;-1.480587602;-0.05631105602;-0.360029906;0.2587797642,5.304190636,5.048529778,7.422711646,1
SUBSET_WITNESS,,"{0,1,2,5}",,0.4395849407;0.6800417304;0.7473171353;1.872043729;-0.8899132013;0.08900332451;-0.4205220044;0.7838432193,6.401678085,6.243665803,6.764130807,1
SUBSET_WITNESS,,"{0,1,3,4}",,0.01301658992;-0.1878562272;0.2502928078;0.2279769033;-0.9662060142;-0.8426790833;0.3499122262;-0.2016997635,3.664022923,3.546080957,11.19176656,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.1985723823;-0.5327582955;1.405328512;0.6202504635;1.187579751;-1.800948262;-1.405751467;0.3264662921,4.747061729,4.660791422,6.055008069,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.3861185312;-0.03400359675;1.592234731;0.1360341907;-0.4050076306;1.234887481;-1.587413192;0.1726284474,4.563056469,4.431811005,5.428408934,1
SUBSET_WITNESS,,"{0,2,3,4}",,0.09264070541;1.318683505;-0.1081312001;0.7738583684;-1.697286606;0.6480002999;-0.1312468052;0.3269073963,5.308821201,5.029680155,5.980167739,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.5141905546;0.7234690785;0.3374336064;1.440332055;-1.213918805;0.6904304624;-0.4393923581;1.249095559,5.386231899,4.907027234,8.938619391,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.4649697244;1.084682822;0.117792204;1.407480597;-1.317045331;1.112739682;-0.8476142287;0.7586134672,5.727314949,5.296393125,6.849272852,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.03699307144;-0.3535132706;-0.09718435258;1.167912245;-0.0772877112;0.6241360903;-1.437013507;0.4716202021,4.552239895,4.461320124,5.221149391,1
SUBSET_WITNESS,,"{1,2,3,4}",,1.129056215;-1.004102707;-0.129817456;-0.1142449751;-2.698970079;0.2116248906;3.521336555;0.1854016334,14.3407259,14.28903398,14.6212109,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.8502794504;0.8541875482;2.007385492;2.007261515;-0.919870615;-0.4344855547;2.893642187;0.26172176,12.14007759,12.07602006,12.25006074,1
SUBSET_WITNESS,,"{1,2,4,5}",,1.151737571;0.6838800311;2.05224967;2.092070341;-0.1420096904;1.204833865;-1.192253828;0.04946770519,7.236597061,6.227271484,8.830088308,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.6255083084;-0.6510548592;1.628979802;-0.308729589;-0.5644983649;1.309246063;-1.621999979;-0.5565487742,6.862598896,6.893142908,7.602829968,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.38485232;1.404966235;1.386115432;0.8030086756;-1.315361738;1.81641674;-1.811788082;0.8081679344,9.526983261,9.482752454,9.985473164,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.6588543057;-0.1991425306;0.2931914032;0.8870312572;-1.721289992;0.2114473581;-0.2115252167;0.5606719255,5.732185364,5.161193415,9.477349771,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,0.01603124663;0.4400293231;0.5152507424;1.857570291;-0.7862226963;0.1392181963;-0.4410284758;0.6848114133,6.273091793,6.200268816,6.939621387,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.7541218996;0.7309647202;0.5467708707;1.705480576;-0.8831051588;0.6659104824;-0.5622165203;0.43577829,5.782753468,5.43620779,10.18644378,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.01601350121;-0.3700168133;1.243294716;0.2061773241;-0.5433822274;1.024175167;-1.401008487;0.3080163598,4.789388657,4.448814411,7.380345589,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.00510591967;1.09231329;0.08099006861;1.0943712;-1.220222473;1.013793707;-0.2433399707;0.9935516715,6.588727474,5.783634935,7.509632205,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,0.8186867833;-0.4896836877;1.004995227;0.4463184178;-0.783539176;0.5442982316;-2.952395678;0.7220574021,8.113621712,7.899787077,8.901200954,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,0.5015653372;-0.2448908985;0.2605550289;1.316097498;-1.054949641;0.4780824482;-0.5025172234;0.8762833476,6.428343773,,,1
